composite,full,tail20,tail10,ts_fold5,w_v032,w_v028,w_v017,w_v010,w_v029,spearman_to_first,mean_rank_delta
0.1232488431683941,0.1363324473400033,0.12387497412555981,0.11686033561297693,0.119977928491535,0.4333072339266794,0.20074904902655927,0.15205454059137413,0.18121111806108495,0.03267805839430226,0.9135401607683956,0.08694090910970509
0.12324853900972456,0.13675498405086403,0.1238007116354127,0.11708097646693952,0.11962044501638382,0.46500893793237574,0.18170591434277317,0.1349312962241421,0.13903841732960298,0.07931543417110597,0.9164716917606571,0.0851800239604626
0.12324721530610826,0.1366446660907616,0.12366511703190781,0.11731858455192531,0.11958746441026587,0.4437504750237054,0.23880533780829932,0.14427710557482196,0.13851347892644306,0.03465360266673017,0.9176648226499867,0.08451142653526866
0.12324618074743715,0.13710096914682277,0.12330678100531677,0.11745691451017061,0.11942972025561883,0.44363224386293126,0.22383068976075463,0.11069444832267225,0.15525713037840422,0.06658548767523756,0.9207332257363829,0.083133035211186
0.12324562335937914,0.1370228481407541,0.12344622101185175,0.1171219075387838,0.11963237898332002,0.42808574873511784,0.20258943297199256,0.1312217785784888,0.17400309738812242,0.06409994232627853,0.9193364691155541,0.0839864476892066
0.12324261029499384,0.1366967950141353,0.12384957968369406,0.11677835397402374,0.11982499103406294,0.4328650635793467,0.1821426515181974,0.16250095247849605,0.16479654416530426,0.057694788258655566,0.9159144959401267,0.08556481919708342
0.12324253739795063,0.13653843970081989,0.12397765786663069,0.11675271762235112,0.11986039565392208,0.4483022966599115,0.1710043275753644,0.15797728481580536,0.15903603651940426,0.06368005442951433,0.914198800779992,0.08640672365096456
0.12324077939149142,0.1366742530416064,0.12359418065354406,0.11715264941461102,0.11971122942516735,0.417893622874032,0.24067935250679798,0.1551563599493826,0.1642293652108163,0.022041299458971063,0.9180265241842323,0.08448313800685385
0.1232402956034595,0.13720601020582038,0.12335656026900114,0.11724725264576463,0.11947419527729726,0.42846930332005595,0.21323953949898675,0.13218882425219305,0.15821573715868675,0.06788659577007741,0.9212803702193759,0.08282294356959799
0.12323977823988361,0.13692961744744073,0.12352952286282581,0.1169913411807919,0.11971461395037805,0.4318848050312575,0.18638633708641253,0.13134766078860508,0.18049602730206693,0.06988516979165789,0.9179905647648898,0.08475444995028449
0.12323949984965407,0.13707236252924296,0.12356968458595828,0.11701006447463765,0.11959592659415544,0.4219991941905784,0.2041451856839247,0.15789684433932355,0.15561718314022352,0.0603415926459498,0.9198632968852649,0.08347176029249867
0.12323708343101837,0.1362212250323737,0.12407414082560173,0.11707724220113215,0.11973914202611499,0.4903434472332758,0.18011922603645578,0.1314503241121054,0.1289511406276298,0.0691358619905334,0.9120929647360686,0.08734456069266222
0.12323705108840831,0.1366451669088139,0.12392982816609249,0.11674324409172214,0.11981783157284713,0.44695618412952304,0.16664889362456614,0.15717009251326133,0.15850854597687825,0.07071628375577116,0.9149766452878408,0.08601582612776124
0.12323664371249725,0.1370458331417633,0.12365610654898042,0.11699955996783892,0.11956104509253933,0.4464793622033658,0.1787132572742298,0.14350298878012227,0.14597072312805104,0.08533366861423129,0.9188103098988754,0.08400314822245504
0.12323561093732513,0.13682597662428508,0.12356997604341821,0.1169734995877695,0.11975155859097744,0.4159747260521331,0.21018159158142632,0.15220001557337462,0.17759859891008992,0.04404506788297607,0.9180928620771769,0.08459450078332216
0.12323366563502189,0.1369901135494753,0.12353988236822108,0.11699653337069597,0.11965295173945321,0.4549471464265031,0.15960547394231792,0.11049106233810972,0.17592079348679876,0.0990355238062705,0.9175512496390764,0.08500655196908803
0.12323194489462061,0.13707367782325167,0.12344781250992408,0.11718922894560478,0.11951525597595504,0.41848311263454396,0.22858135373133634,0.15266917062012947,0.15233785173425576,0.0479285112797344,0.9208252118471786,0.08295102038046824
0.12323152344432181,0.13696820250163005,0.12367882586361587,0.1169462577922467,0.11961586663774558,0.42562346862292394,0.20151499693134076,0.16671254153659193,0.14787941276719702,0.0582695801419464,0.9189383571810812,0.08386945746621348
0.12323093800959833,0.1371352804932189,0.12336526002802287,0.1174155843960543,0.11936266801810404,0.4458800388050936,0.22164831696812284,0.12237301275550949,0.1394264155385748,0.07067221593269914,0.9210873025282401,0.08280569621546163
0.1232289249737498,0.13720706240372768,0.1233536272523578,0.11718521468105746,0.11948709534933813,0.416227421632435,0.22102475220244838,0.14566721215011827,0.159263218403185,0.05781739561181333,0.921643661335238,0.0826000754500051
0.12322645576242618,0.13688138616799278,0.12362964329469613,0.11722665767346434,0.11947881557577802,0.4495274595712765,0.2128602173225677,0.14378730426189842,0.13030738448516288,0.06351763435909463,0.9187467554227146,0.08392389785327874
0.12322526100583708,0.13718074471449893,0.1234967745052962,0.11718739925563114,0.11940830670848651,0.45367680112415804,0.18613889522510196,0.12733902976905664,0.1385913602881488,0.0942539135935344,0.9202824508689763,0.0832294602423545
0.12322185451352898,0.13711470561806186,0.12326887048643856,0.11747238198210708,0.11936298227743466,0.43281158727314695,0.24170254384404316,0.12499105264780293,0.14664252746385226,0.05385228877115458,0.9216860566380854,0.08252438863951088
0.12322148487271795,0.13634509168388545,0.12403399957849628,0.11692550382282871,0.1197551161843841,0.45783464219783365,0.19640063147950984,0.1641346912722197,0.1329721587335125,0.04865787631692444,0.9136937826046527,0.08646496005135487
0.12322092685036544,0.1372391914965011,0.1232782759425928,0.11714758401141,0.11951582102769759,0.4201008490920832,0.2038468829379404,0.12960231646541828,0.17445473090174984,0.07199522060280819,0.9212896491174476,0.08298001138322307
0.12322061958386314,0.13676097304472773,0.12338577677372956,0.11731408828223444,0.11960785014175165,0.4153219086370792,0.254089546297485,0.14004558811403117,0.16878928389902656,0.021753673052378172,0.9193691914510732,0.08387321713346649
0.12321994782851416,0.13725290010648336,0.1233709676971581,0.1170175069768569,0.11954513578163324,0.40936606863561326,0.20529660436013714,0.15205067808144299,0.1688322425990983,0.06445440632370836,0.9214948311816079,0.08274902267545267
