group,models,alpha,full,tail20,tail10,tail5,ts_fold5,composite,utility,failed_excess,anchor_shortfall,rank_delta_excess,spearman_to_anchor,spearman_to_failed,mean_rank_delta_to_anchor
conservative,v016+v017+v031+v032,0.04,0.13718681037425995,0.11188092827796936,0.10800869017839432,0.1493907868862152,0.11188092827796936,0.12643872536718845,0.12643872536718845,0.0,0.0,0.0,0.999802974548444,0.914541860910878,0.004341095685958862
balanced_no_v032,v016+v017+v021+v023,0.14,0.13740874826908112,0.11203428357839584,0.10783400386571884,0.14797380566596985,0.11203428357839584,0.12641670294106008,0.12641670294106008,0.0,0.0,0.0,0.9990540626078712,0.9118660725808979,0.009563411585986614
conservative,v016+v017+v031+v032,0.12,0.13898195326328278,0.11364366114139557,0.10895204544067383,0.15064433217048645,0.11364366114139557,0.12804221734404564,0.12640047813513186,0.001368116007428144,0.0,0.0,0.9981701704108185,0.9263681160074282,0.01314233522862196
balanced_no_v032,v016+v017+v021+v023,0.12,0.13724800944328308,0.1118907630443573,0.10779557377099991,0.1480894684791565,0.1118907630443573,0.1263071160763502,0.1263071160763502,0.0,0.0,0.0,0.9993086237560772,0.9114450243827157,0.008183161728084087
v017,v017,0.04,0.1373288929462433,0.11167658120393753,0.10758427530527115,0.14867013692855835,0.11167658120393753,0.12630563117563726,0.12630563117563726,0.0,0.0,0.0,0.9997834945909664,0.913078562650362,0.0044565144926309586
balanced_no_v032,v016+v017+v021+v023,0.1,0.13707949221134186,0.11174424737691879,0.10775444656610489,0.14820285141468048,0.11174424737691879,0.12619249783456324,0.12619249783456324,0.0,0.0,0.0,0.9995223367427717,0.9109906118399577,0.0068078492768108845
balanced_no_v032,v016+v017+v021+v023,0.08,0.13690383732318878,0.11159484088420868,0.1077105700969696,0.14831383526325226,0.11159484088420868,0.12607314810156822,0.12607314810156822,0.0,0.0,0.0,0.9996958688155195,0.9105032142071423,0.005437243264168501
balanced_no_v032,v016+v017+v021+v023,0.06,0.1367206573486328,0.11144237220287323,0.10766391456127167,0.14842242002487183,0.11144237220287323,0.1259488366544247,0.1259488366544247,0.0,0.0,0.0,0.9998297955595034,0.9099832427269386,0.004071254748851061
balanced_no_v032,v016+v017+v021+v023,0.05,0.13662633299827576,0.11136499047279358,0.10763952136039734,0.148475781083107,0.11136499047279358,0.12588485330343246,0.12588485330343246,0.0,0.0,0.0,0.9998820973092485,0.909711395604405,0.003390032332390547
balanced_no_v032,v016+v017+v021+v023,0.04,0.1365301012992859,0.11128690093755722,0.10761445015668869,0.14852851629257202,0.11128690093755722,0.12581963501870633,0.12581963501870633,0.0,0.0,0.0,0.9999247318924478,0.9094314956018801,0.0027098648715764284
low_failed,v021+v023+v017,0.16,0.1368497759103775,0.11114537715911865,0.10713031142950058,0.14735151827335358,0.11114537715911865,0.12573071084916593,0.12573071084916593,0.0,0.0,0.0,0.9991947127127908,0.9066753448042094,0.008817803114652634
