kfold_weight,full,tail50,tail30,tail20,tail10,ts_fold1,ts_fold2,ts_fold3,ts_fold4,ts_fold5,composite
0.4,0.14584681805322516,0.1351180917811218,0.13736595427886833,0.1156910077575591,0.11186309940776253,0.20792847057988953,0.10625227884825118,0.14367528756577413,0.15849083963668997,0.11283692329678519,0.1197662631679723
0.375,0.1458457012751653,0.13495560011396093,0.13706012953840754,0.11542231259197822,0.11163513384429558,0.20740661110135353,0.10664248343551133,0.14375216317145337,0.15813051067037961,0.11259921041703497,0.11957210988046484
0.35000000000000003,0.14583082682951365,0.13478574571073962,0.13674945912106107,0.11514992288155135,0.11140117691606329,0.20686015434483138,0.1070177268007681,0.14381479191085517,0.1577635936679337,0.11235733808962524,0.11937151250259766
0.325,0.14580232992070233,0.13460859762702526,0.136434010997162,0.11487386830639665,0.11116123790040036,0.20629013694595272,0.10737801158678313,0.14386322125192613,0.15739023084066356,0.11211132510588405,0.11916451290757929
0.30000000000000004,0.14576035588335157,0.13442422823253197,0.13611385441475768,0.11459417959259172,0.11091532884657078,0.20569759323036158,0.10772335751531724,0.14389751093111935,0.15701056555587242,0.11186119161820395,0.11895115637320273
0.275,0.14570505980261164,0.1342327131172575,0.13578905984354792,0.11431088849538498,0.11066346458577711,0.2050835526297976,0.10805380104309856,0.14391773275871683,0.1566247421928029,0.11160695913265277,0.11873149150247209
0.25,0.14563660611856308,0.13403413099403688,0.13545969891823134,0.11402402778160187,0.11040566273769534,0.20444903726191122,0.10836939497171885,0.14392397039659077,0.15623290600044556,0.1113486505003576,0.11850557013958198
0.225,0.14555516821639455,0.13382856359775952,0.13512584438134898,0.11373363121126862,0.11014194371349281,0.20379505967683284,0.10867020801444426,0.14391631910953362,0.1558352029574343,0.11108628990766853,0.11827344728158982
0.2,0.1454609280040964,0.1336160955815001,0.13478757002571573,0.11343973351847689,0.10987233071529366,0.20312262077200738,0.1089563243231072,0.1438948854914025,0.1554317796342399,0.11081990286511138,0.11803518098612706
0.17500000000000002,0.14535407547941762,0.13339681440981835,0.13444495063652756,0.11314237039151405,0.10959684973206585,0.2024327078754052,0.10922784297838924,0.14385978716741799,0.15502278305785658,0.11054951619514158,0.11779083227550236
0.15000000000000002,0.14523480828782878,0.13317081024948738,0.13409806193323362,0.11284157845228435,0.10931552953191234,0.20172629299594963,0.10948487744691937,0.14381115247404933,0.15460836057916996,0.11027515801871146,0.11754046503754972
0.125,0.14510333127322345,0.13293817585791148,0.13374698051125902,0.1125373952350484,0.10902840165075764,0.20100433123885164,0.10972755500869368,0.1437491201179933,0.15418865974317728,0.10999685774066761,0.11728414592357746
0.1,0.14495985602306588,0.13269900646949626,0.1333917837836651,0.11222985916450784,0.10873550037743081,0.2002677593825222,0.1099560161583722,0.14367383881582454,0.1537638281622185,0.10971464603399558,0.1170219442437709
0.07500000000000001,0.1448046004096612,0.1324533996802345,0.13303254992282978,0.11191900953326439,0.10843686273515378,0.19951749461283733,0.1101704139840292,0.14358546691594837,0.15333401339236652,0.10942855482293135,0.11675393186039953
0.05,0.1446377881291851,0.1322014553307717,0.13266935780223185,0.11160488647868198,0.10813252845945437,0.19875443340975787,0.11037091352692331,0.14348417200453148,0.15289936281310643,0.10913861726496188,0.11648018307917365
0.025,0.14445964824005936,0.13194327538821105,0.13230228693841906,0.11128753095918259,0.10782253997253144,0.1979794505806602,0.11055769112581768,0.14337013049712122,0.1524600235104272,0.10884486773173736,0.11620077453908932
0.0,0.14427041470220528,0.13167896382691924,0.13193141743323805,0.11096698473000666,0.10750694235410937,0.1971933984341899,0.1107309337493178,0.14324352721768313,0.15201614216343032,0.10854734178892218,0.1159157851010925
