group,models,alpha,full,tail20,tail10,tail5,ts_fold5,composite,utility,failed_excess,anchor_shortfall,rank_delta_excess,spearman_to_anchor,spearman_to_failed,mean_rank_delta_to_anchor
v021,v021,0.2,0.13398806750774384,0.10975602269172668,0.10737262666225433,0.14712220430374146,0.10975602269172668,0.12403955161571503,0.12403955161571503,0.0,0.0,0.0,0.9984704282935776,0.8947289352758208,0.011939610354602337
strong_core,v021+v023+v025,0.18,0.13442444801330566,0.10962886363267899,0.106760673224926,0.14642333984375,0.10962886363267899,0.12403609566390514,0.12403609566390514,0.0,0.0,0.0,0.9987348199115951,0.8999868373590535,0.01092146523296833
v021,v021,0.21,0.13386505842208862,0.1096898764371872,0.10735822468996048,0.14703255891799927,0.1096898764371872,0.12395322881639004,0.12395322881639004,0.0,0.0,0.0,0.9983123124482136,0.8939779914526204,0.012540333904325962
v021,v021,0.22,0.13374072313308716,0.10962320119142532,0.1073431447148323,0.14694207906723022,0.10962320119142532,0.12386596538126468,0.12386596538126468,0.0,0.0,0.0,0.998146324390712,0.8932199982936397,0.013141386210918427
v023,v023,0.18,0.13467110693454742,0.10937870293855667,0.10586777329444885,0.14557044208049774,0.10937870293855667,0.12385281920433044,0.12385281920433044,0.0,0.0,0.0,0.9981978326653688,0.8920318511691487,0.012987128458917141
strong_core,v021+v023+v025,0.2,0.13420534133911133,0.10947000235319138,0.10666514188051224,0.14615212380886078,0.10947000235319138,0.12384838797152041,0.12384838797152041,0.0,0.0,0.0,0.9984341294750587,0.8989210606079574,0.012146038934588432
strong_core,v021+v023+v025,0.21,0.13409359753131866,0.10938979685306549,0.10661649703979492,0.14601559937000275,0.10938979685306549,0.12375309243798258,0.12375309243798258,0.0,0.0,0.0,0.998271503859021,0.8983767522896634,0.012759080156683922
v021,v021,0.24,0.1334877759218216,0.10948836803436279,0.10731087625026703,0.1467587649822235,0.10948836803436279,0.12368851751089097,0.12368851751089097,0.0,0.0,0.0,0.9977906285496009,0.8916820743488361,0.0143443513661623
strong_core,v021+v023+v025,0.22,0.1339806467294693,0.10930909216403961,0.10656727105379105,0.1458783745765686,0.10930909216403961,0.1236569467931986,0.1236569467931986,0.0,0.0,0.0,0.9981006709267664,0.8978249492619094,0.013372509740293026
v023,v023,0.2,0.13447290658950806,0.10918816179037094,0.1056692898273468,0.14519916474819183,0.10918816179037094,0.1236395664513111,0.1236395664513111,0.0,0.0,0.0,0.9977701247948004,0.8900157031524298,0.014436909928917885
v023,v023,0.21,0.1343712955713272,0.10909189283847809,0.10556890070438385,0.14501218497753143,0.10909189283847809,0.12353120446205137,0.12353120446205137,0.0,0.0,0.0,0.9975388935118336,0.888991457456836,0.015162122435867786
strong_core,v021+v023+v025,0.24,0.13375061750411987,0.1091463565826416,0.10646703094244003,0.14560210704803467,0.1091463565826416,0.12346195019781589,0.12346195019781589,0.0,0.0,0.0,0.9977342210115974,0.8966986861769677,0.014601127244532108
v023,v023,0.22,0.13426795601844788,0.10899505764245987,0.1054677739739418,0.14482440054416656,0.10899505764245987,0.12342170365154743,0.12342170365154743,0.0,0.0,0.0,0.9972960294109493,0.8879565404653061,0.015887659043073654
v023,v023,0.24,0.13405674695968628,0.10879930108785629,0.10526332259178162,0.14444632828235626,0.10879930108785629,0.12319945767521859,0.12319945767521859,0.0,0.0,0.0,0.9967752604784679,0.8858543306014343,0.01733948476612568
