utility,composite,spearman_to_anchor,max_spearman_to_failed,mean_spearman_to_failed,rank_delta_to_anchor,full,tail20,tail10,tail5,w_v016,w_v017,w_v021,w_v023,w_v025,spearman_to_sub_calibrated_tail_cli_,spearman_to_sub_anchor_blend_utility
0.13199876923584397,0.12802112857670425,0.9329215972899082,0.9558205082002353,0.9299880971576062,0.07782003487866322,0.13949636354557904,0.11683222269026575,0.10676130294486902,0.14183902732383585,0.18008964949093767,0.4172372292083386,0.12879804144029566,0.2540236938939424,0.01985138596648561,0.9041556861149772,0.9558205082002353
0.13199244570593277,0.12793430164684452,0.9389345961594745,0.9601522268831114,0.932156635993185,0.07416951970918294,0.1398827841496317,0.11617557906668377,0.10634069751262018,0.14183270432612094,0.12350240331552781,0.4535837508756347,0.1796284192030727,0.22823995103890043,0.015045475566864308,0.9041610451032587,0.9601522268831114
0.1319911173067503,0.1280717622253897,0.9298222084866566,0.9529618243235973,0.9271574132581025,0.08017783742982228,0.13786195726650838,0.11763714404721064,0.10924768044268111,0.14355586174895596,0.2848662745072809,0.2919384702501669,0.3434724304807913,0.07848709181591802,0.0012357329458427568,0.9013530021926077,0.9529618243235973
0.13198976569075552,0.1280583901761669,0.9324136526636304,0.9567700776212819,0.9361189322114181,0.07800581840970192,0.13953633657100453,0.11660559758334209,0.10695487386718167,0.14242128364134984,0.1107681803499849,0.4888201412384055,0.16754365669745425,0.10489812814571352,0.1279698935684418,0.9154677868015544,0.9567700776212819
0.13197959528420095,0.12883645814189196,0.9231297011567842,0.9494850679841217,0.9297470430202569,0.083409251793274,0.13861720367825892,0.1187177113300143,0.10928613881678001,0.14450482265154166,0.22670211681075303,0.42168437230651207,0.3411370127985342,0.009427791221869786,0.001048706862330899,0.9100090180563921,0.9494850679841217
0.1319795257015031,0.12838192092509454,0.9266029333020729,0.9520499235293379,0.9313104853373895,0.0813600009164193,0.13923238145505523,0.1176586595589238,0.10764993449392159,0.14282261228554302,0.18633490120981042,0.442707736097507,0.16943484672245643,0.14617300702704117,0.055349508943184834,0.9105710471454411,0.9520499235293379
0.1319643688960775,0.12859597245370183,0.9246541210069611,0.9513593265999536,0.9342213554064962,0.08226858997434691,0.13919130381784214,0.11790771843792307,0.1080898547689729,0.14374091988949989,0.13917325931928334,0.5083491039191007,0.2522697513411432,0.01082849272735077,0.08937939269312209,0.9170833842130389,0.9513593265999536
0.13196382947362545,0.12789929892786223,0.9385497173494665,0.9594903187156034,0.930466131559755,0.07506838297546035,0.1385423626343169,0.11670302920050155,0.10830231598627577,0.1429897958432777,0.22024754385002834,0.32877825200169114,0.3293699127138399,0.11763143319167976,0.003972858242760985,0.9014419444039066,0.9594903187156034
0.13195324467688882,0.12802402252030556,0.9315477778208601,0.9558316689048952,0.9344066728557412,0.0788574263246055,0.1390378368841365,0.11685565718971336,0.10761730396934158,0.14257703170128877,0.1684869963315417,0.41935382969615975,0.18146136003988578,0.10976273768949012,0.12093507624292275,0.912981676806587,0.9558316689048952
0.13192490061598255,0.1279813235401906,0.9304267971554855,0.9540453608216675,0.9306220632397326,0.07830660325429507,0.14030196155643346,0.11644863004112291,0.10520216218596443,0.14130527499563997,0.06709566180853219,0.5700774859972374,0.07411811544024505,0.26614636255161184,0.022562374202373513,0.9071987656577978,0.9540453608216675
