group,models,alpha,full,tail20,tail10,tail5,ts_fold5,composite,spearman_to_anchor,spearman_to_failed,mean_rank_delta_to_anchor
balanced_no_v032,v016+v017+v021+v023,0.18,0.13770844042301178,0.11231236159801483,0.10790284723043442,0.14773572981357574,0.11231236159801483,0.1266215067356825,0.998420043651594,0.9126063359503228,0.01233831886202097
balanced_no_v032,v016+v017+v021+v023,0.15,0.13748642802238464,0.11210492253303528,0.10785219818353653,0.14791512489318848,0.11210492253303528,0.126469711586833,0.9989112752815139,0.9120640522234694,0.010255362838506699
balanced_no_v032,v016+v017+v021+v023,0.12,0.13724800944328308,0.1118907630443573,0.10779557377099991,0.1480894684791565,0.1118907630443573,0.1263071160763502,0.9993086237560772,0.9114450243827157,0.008183161728084087
balanced_no_v032,v016+v017+v021+v023,0.1,0.13707949221134186,0.11174424737691879,0.10775444656610489,0.14820285141468048,0.11174424737691879,0.12619249783456324,0.9995223367427717,0.9109906118399577,0.0068078492768108845
low_failed,v021+v023+v017,0.24,0.13710999488830566,0.11119040101766586,0.1069023609161377,0.14662715792655945,0.11119040101766586,0.1257546879351139,0.9981621748412498,0.9053234055755074,0.013302392326295376
low_failed,v021+v023+v017,0.22,0.13705109059810638,0.1111818253993988,0.10696166753768921,0.1468101143836975,0.1111818253993988,0.12575279995799066,0.9984611259059106,0.9056984608114312,0.012176582589745522
low_failed,v021+v023+v017,0.21,0.13702011108398438,0.11117687821388245,0.106990747153759,0.14690114557743073,0.11117687821388245,0.12575084008276463,0.9986003149743544,0.9058765387312734,0.011614874936640263
low_failed,v021+v023+v017,0.2,0.1369880884885788,0.11117147654294968,0.10701943188905716,0.14699186384677887,0.11117147654294968,0.12574818395078183,0.9987326990097241,0.9060485560626305,0.0110539011657238
low_failed,v021+v023+v017,0.18,0.1369209587574005,0.1111593246459961,0.10707565397024155,0.14717233180999756,0.1111593246459961,0.12574081011116506,0.998977155456283,0.9063740269320588,0.009934201836585999
low_failed,v021+v023+v017,0.15,0.13681268692016602,0.11113770306110382,0.10715699195861816,0.1474405974149704,0.11113770306110382,0.12572462856769562,0.9992934943850235,0.9068167846213421,0.008260860107839108
low_failed,v021+v023+v017,0.12,0.1366947889328003,0.11111199110746384,0.10723470151424408,0.1477057933807373,0.11111199110746384,0.1257020369172096,0.9995502790104951,0.9072050833899183,0.006594636477530003
low_failed,v021+v023+v017,0.1,0.13661089539527893,0.11109253764152527,0.10728441178798676,0.14788086712360382,0.11109253764152527,0.1256834127008915,0.9996888410908766,0.9074346683971813,0.0054876371286809444
v021,v021,0.1,0.13513778150081635,0.11038901656866074,0.10747720301151276,0.1479731798171997,0.11038901656866074,0.12484760507941248,0.9996209141686021,0.9018421852800163,0.0059507922269403934
strong_core,v021+v023+v025,0.1,0.13524344563484192,0.11024471372365952,0.10711823403835297,0.1474805325269699,0.11024471372365952,0.12474875301122668,0.9996135356551143,0.9039491429213368,0.006045050453394651
v021,v021,0.12,0.13492009043693542,0.11026671528816223,0.10746211558580399,0.1478099226951599,0.11026671528816223,0.12469436489045621,0.9994531124052888,0.90047738256441,0.007145742420107126
v023,v023,0.1,0.13539382815361023,0.11011357605457306,0.10663023591041565,0.14701825380325317,0.11011357605457306,0.12465765625238419,0.9994490155316446,0.899664297907143,0.0072005875408649445
strong_core,v021+v023+v025,0.12,0.1350475698709488,0.11009380221366882,0.10703261941671371,0.14722055196762085,0.11009380221366882,0.12457649521529676,0.9994420027605642,0.9030034586997487,0.0072608571499586105
v023,v023,0.12,0.1352238953113556,0.10993405431509018,0.10644448548555374,0.14666220545768738,0.10993405431509018,0.12446386255323887,0.9992046329292921,0.8978210185276534,0.008645289577543736
v021,v021,0.15,0.1345817595720291,0.11007916927337646,0.1074339970946312,0.14755840599536896,0.11007916927337646,0.12445648275315763,0.999143194097172,0.8983757062456985,0.008940867148339748
strong_core,v021+v023+v025,0.15,0.1347426027059555,0.10986362397670746,0.10689941048622131,0.14682511985301971,0.10986362397670746,0.12431068196892739,0.9991247343992168,0.9015289876531397,0.009088763035833836
v021,v021,0.18,0.13422991335391998,0.10988683253526688,0.10739930719137192,0.14729918539524078,0.10988683253526688,0.12420932538807393,0.9987630598190593,0.8962091598601014,0.010739101096987724
v023,v023,0.15,0.1349554806947708,0.10965945571660995,0.10615972429513931,0.1461206078529358,0.10965945571660995,0.12416382245719433,0.99875281544142,0.8949750442605106,0.010814625769853592
v021,v021,0.2,0.13398806750774384,0.10975602269172668,0.10737262666225433,0.14712220430374146,0.10975602269172668,0.12403955161571503,0.9984704282935823,0.8947289352758208,0.011939610354602337
