composite,full,tail20,tail10,ts_fold5,w_v032,w_v028,w_v017,w_v010,w_v029,w_v023,w_v031,w_v018,spearman_to_first,mean_rank_delta
0.12332062148520545,0.13621896888221466,0.1237696269985568,0.11762454701548967,0.1197621873005107,0.4899338414630543,0.22957536874168255,0.0844932810703315,0.15475871126141813,0.04123879746351368,0.0,0.0,0.0,0.913184617019936,0.08704344695214047
0.12332043296052289,0.13566368206883572,0.12426157633118,0.1172019147549143,0.1200997216908319,0.49946328780143884,0.19791005869806186,0.10994953139965943,0.15948719352497498,0.033189928575864946,0.0,0.0,0.0,0.9073430514183153,0.08992025031086116
0.12331972194389787,0.13585690774030168,0.12396574202477464,0.11742395792396099,0.1199977214568353,0.4998311164986903,0.20308929935701445,0.07622271096415849,0.17492547229707497,0.04362808394436253,0.0,0.002303316938699212,0.0,0.9090048482531685,0.08933875682404388
0.12331902408068017,0.13587159114758948,0.12393987526889536,0.1176073463626765,0.1198711263048974,0.4904816980737776,0.2539670958427041,0.09599813035137188,0.1507640833477184,0.004156558793974043,0.004632433590453904,0.0,0.0,0.9111503314844309,0.08796748932318205
0.12331881061452224,0.13599019554233216,0.12378845984553809,0.11759235010773676,0.11989997717146857,0.4876366279956795,0.23173861616864766,0.07816216600950607,0.17293713866720173,0.02952545115896501,0.0,0.0,0.0,0.9112264386524016,0.0882077026129411
0.12331874421334274,0.13663454129274613,0.1238046322155215,0.11721478708164193,0.11979203640365352,0.46840146340860345,0.2099827404562547,0.11189227966980443,0.1623692275320861,0.034737346796814124,0.012616942136437083,0.0,0.0,0.9151844366074791,0.0859879383522559
0.12331851433406522,0.13632965453089202,0.12382250271364782,0.1174515492759395,0.11978627304620681,0.48237841528159264,0.21443367312441375,0.09899921667294823,0.15509696816511553,0.049091726755929876,0.0,0.0,0.0,0.9135912160229445,0.08681749139843194
0.12331792612400744,0.13591949411266907,0.12405787954444206,0.11744199517747858,0.11989129313775876,0.49423674058534506,0.2232574496751072,0.10686743674932349,0.14487637406303266,0.030761998927191614,0.0,0.0,0.0,0.9106181190744411,0.08819953490539256
0.12331522939050349,0.136027592462784,0.12408470583439073,0.11721579356715886,0.11996806096936809,0.5030839040764532,0.17677532607783739,0.09387532504212501,0.16219229850784148,0.06407314629574291,0.0,0.0,0.0,0.9095541562329083,0.08891376182343728
0.12331496190821803,0.13630272023124176,0.12384439982628212,0.11731808414333554,0.11987433388822677,0.4827965428813421,0.19510597803013613,0.09446302914141862,0.16942538897290332,0.05820906097419976,0.0,0.0,0.0,0.9125283080944518,0.0874997312869043
0.123312679581646,0.13545954983783617,0.12421320538846518,0.11758635353803921,0.11994725757678837,0.519387982678482,0.23443462979348006,0.09255679669142695,0.13576362940084805,0.01785696143576296,0.0,0.0,0.0,0.9072853098122268,0.08980277946061514
0.12331120204636639,0.13567027785085103,0.12389942820025093,0.11766323824925931,0.11994700363951763,0.4871724527846637,0.26017398340723724,0.08858435735913794,0.16406920644896114,0.0,0.0,0.0,0.0,0.909975315884616,0.0887011369219678
0.12331029358116352,0.13659240868254094,0.12395826254477073,0.11703812918835291,0.11983036296746556,0.48866388406629546,0.2002580693671053,0.1029914397489946,0.16070643481472915,0.017893511080755767,0.029486660922119594,0.0,0.0,0.9134380133070558,0.08681036394958164
0.12330873752977446,0.1364992029576123,0.12386309960648718,0.11710632079837542,0.11988484804960203,0.4657021357006756,0.218106094679775,0.11442904008360649,0.17157144207900413,0.010235693421902035,0.019955594035036796,0.0,0.0,0.9139730678881746,0.08663688433402625
0.12330803219473054,0.1376430681346904,0.12339792850202468,0.11717847564595216,0.11944346844542714,0.4591188187074919,0.2058131903017451,0.09768155128177419,0.16041239017562725,0.04227098006212103,0.0347030694712406,0.0,0.0,0.922136630025327,0.08232633703506803
0.1233077422645979,0.135802817366683,0.12408468538608908,0.11719112531947538,0.12009274395478466,0.5018318287638068,0.17866302534525266,0.0854098159968609,0.18052377213767304,0.05357155775640655,0.0,0.0,0.0,0.907546418138763,0.09009832585718958
0.1233069189880473,0.1371981588229106,0.1234137462580398,0.1173043301579427,0.11959558694963301,0.46510162751531864,0.23307551557046827,0.0789890412470647,0.1783943075869282,0.005382169289616487,0.039057338790603746,0.0,0.0,0.9192058442594704,0.0840385079921046
0.12330571230299603,0.13605562451558245,0.12395170775142844,0.11723998835100066,0.11998356789098198,0.4979818184226486,0.17733340318138868,0.08180082384668011,0.17834019736019524,0.06454375718908749,0.0,0.0,0.0,0.9096613111740396,0.08905203783383636
0.12330557593858472,0.13558400020337336,0.12434327069671919,0.11716486978986686,0.12008258374599858,0.5143177229370576,0.21315340238383856,0.10270567217832104,0.1527619083273846,0.0,0.017061294173398207,0.0,0.0,0.9063049693927172,0.09031162733564581
0.12330461774478231,0.13654668241033915,0.12371976421656367,0.11745953628772621,0.11967555527848625,0.48804188735414405,0.1994999286417751,0.0888548893295213,0.1523411742549172,0.07126212041964228,0.0,0.0,0.0,0.9148875409332292,0.08617299642584568
0.12330416198820061,0.13634288305685066,0.12383460855889779,0.1173227347782543,0.11982279991567812,0.49986740016375303,0.17519101397284506,0.07751628168301568,0.16720228067768553,0.08022302350270075,0.0,0.0,0.0,0.9121065589370747,0.08773870678676625
0.12330409654791141,0.13628804633400093,0.12372732621296723,0.11741702963728523,0.11984789894056135,0.4657315603465437,0.22510127482966927,0.10171234212352959,0.17235448889458924,0.035100333805668266,0.0,0.0,0.0,0.9136835380165128,0.08692061868534573
0.12330385123137698,0.1364587797855579,0.12369990103589504,0.11759692604917145,0.11963681015655293,0.4929603272978458,0.21518972893726826,0.08343299954618377,0.14602831540626476,0.062388628812437445,0.0,0.0,0.0,0.9147621196324054,0.08619055766280967
0.12330351339887746,0.136456708845751,0.12381794282617924,0.11732683027615,0.11976250141558263,0.46872501229281616,0.21252516113908504,0.11756756621636301,0.15232130022221682,0.04886096012951898,0.0,0.0,0.0,0.9147337022084153,0.08617718665213528
0.12330345337002512,0.13613573993042763,0.124013655180616,0.1170966515573572,0.11999831845279171,0.4731903848066501,0.1908375166282269,0.11840719233211228,0.17107551719626624,0.04648938903674447,0.0,0.0,0.0,0.911117722832342,0.0881535877590595
0.1233033419403861,0.13620122993076642,0.12390518055788147,0.11751790419981294,0.11972166797915225,0.49210036629102877,0.24051115488989547,0.10327973851392737,0.13571549290296492,0.018766741041817307,0.009626506360366141,0.0,0.0,0.9131850305436809,0.08682190898276539
0.12330278267801219,0.1361042794062584,0.12396210367411445,0.1173031995333742,0.1198963033674116,0.4920450608749167,0.19079930180892204,0.09127697603098953,0.16337909991027022,0.057696924627659234,0.0,0.004802636747242296,0.0,0.9110278833850523,0.08819684109723477
0.12330191060626855,0.13651065278741453,0.12393979962755808,0.11731193128136988,0.11966810657980449,0.5067150695213724,0.21960490519166367,0.0933206350614347,0.1344672418050255,0.016692707058108144,0.029199441362395655,0.0,0.0,0.9137341569275457,0.08650001358307546
0.12330182110034284,0.1360828751025826,0.12415567556709442,0.1172385642874413,0.11984134255584887,0.5174921367867017,0.19737878504923506,0.09558562556213096,0.13818036830204483,0.034343447811455034,0.017019636488432285,0.0,0.0,0.9099965003642753,0.08843857298707193
0.12330140173366878,0.1355389530645798,0.12434493886480087,0.11724696709489178,0.12003680449734203,0.5146887772801381,0.19701784466955635,0.10911022576230472,0.14208507730567335,0.03709807498232737,0.0,0.0,0.0,0.9064960665152559,0.0902113518445567
0.12330138637567936,0.13519410933941828,0.12443818357264483,0.11707629891204102,0.12030243732930421,0.5174238825816382,0.18703409650341785,0.09494477242433083,0.17600104390539573,0.02015683837570015,0.0044393662095171815,0.0,0.0,0.9025052234446925,0.09241899963141971
0.12330035073596794,0.13661212774475137,0.1236097621171888,0.11748997484446651,0.11966708300703796,0.4805416941349915,0.20452029391712293,0.08416592294111236,0.1618259645670966,0.06894612443967664,0.0,0.0,0.0,0.9155490310494728,0.08592771999634266
0.12330017878566998,0.13643012161613371,0.1238785944454512,0.11729012212030857,0.1197597286950739,0.4772722855593825,0.20154039304526414,0.11594651056700964,0.1476041948926384,0.057636615935705314,0.0,0.0,0.0,0.9141339704315723,0.08645523511178309
0.12329999949693862,0.13534604100894287,0.12397505049460172,0.11754710495826991,0.12014001416189203,0.4970394638841552,0.2396352299865732,0.07200707485474711,0.18816427803646274,0.0031539532380617805,0.0,0.0,0.0,0.9061381527024224,0.09088852743308368
0.1232997888943614,0.1359275487894202,0.12402514173228085,0.11713719529715386,0.12007129133066492,0.4672869916732565,0.20949818117493757,0.12073482782255598,0.17735095983099472,0.025129039498255297,0.0,0.0,0.0,0.910124056403451,0.08869284925097293
0.12329978435425862,0.1364847370334987,0.12386439381164485,0.11723092127964269,0.11977779390091206,0.48393823835361144,0.18191771345051022,0.10465094888886946,0.15558273172771403,0.07383798506250216,7.238251679276255e-05,0.0,0.0,0.9137911573688718,0.08672529231808862
0.12329963332041832,0.13728217775703333,0.12347225579736484,0.11723964408392473,0.11953953025302141,0.45263528400813796,0.22119213181707834,0.1083627840501731,0.16090669580126604,0.0328973614423394,0.022753709536587508,0.0,0.0012520333444177199,0.9203851107421753,0.083257727997639
0.12329884598621152,0.13650534961469996,0.12384462455421347,0.1171887411020991,0.11980475964829732,0.46482600452427053,0.1977629457149843,0.12262112221473727,0.15847157270950768,0.05631835483650014,0.0,0.0,0.0,0.914586473811999,0.08629464311035885
0.12329884368902888,0.13635698183802628,0.12409544105025648,0.11708139267565551,0.11982288840702414,0.5186087142203406,0.17806759538111386,0.08680838704106034,0.14884267020113795,0.04186624104663551,0.025806392109711786,0.0,0.0,0.9109282383097602,0.08804273841315825
0.12329855566109477,0.1356377842009969,0.12426834562526783,0.11701739443162408,0.12017994596553089,0.4885962396522769,0.18761248741825054,0.11827790706927932,0.1728867206508414,0.03262664520935185,0.0,0.0,0.0,0.9067787458152285,0.09029588211777685
