version,coverage,full_nonzero,ts_fold1,ts_fold2,ts_fold3,ts_fold4,ts_fold5,tail_50pct,tail_40pct,tail_30pct,tail_20pct,tail_10pct,cv_json,late_mean,late_min,gap_full_late
v027,0.8333269948239732,0.005262983983826273,0.21320580085137641,0.09407934755974894,0.011328904538115362,0.11559823078046075,0.10894020344983432,0.006457704380685709,0.12261696371355527,0.11488336489498249,0.10100160564695482,0.15417792945214873,0.005262983983826273,0.10098837312708274,0.011328904538115362,-0.09572538914325647
v010,0.8333269948239732,0.07955693506795557,0.1414329153705413,0.051585799159469536,0.0366267885683516,0.10628624161744653,0.10812659425029658,0.07961096115852478,0.0956035317743757,0.08583287601323902,0.06985807834621896,0.10125775056148689,0.0038684141663220205,0.0846647215595066,0.0366267885683516,-0.005107786491551039
v007,0.8333269948239732,0.07040516279016465,0.12126047908518596,0.03175994747746799,0.0626457059910301,0.04259937665134574,0.11250182146893717,0.07440967441913862,0.09046057859818267,0.08362436465292651,0.10220180636407053,0.08922804300071083,0.0024015327305053624,0.08213351968817016,0.04259937665134574,-0.011728356898005513
v006,0.8333269948239732,0.06749646142334252,0.10492875142361718,0.06276413271822352,0.06155871518358485,0.053493524508536866,0.10805493276900308,0.06814641192790187,0.07799537416109814,0.08078770370035841,0.09883469742305273,0.08004036695959822,0.001803501162927401,0.08046165675735568,0.053493524508536866,-0.012965195334013163
v003,0.8333269948239732,0.06880342781043822,0.12341209656259737,0.04156538179884017,0.04483056762408803,0.05821176630271572,0.10314702930126178,0.06715236397127329,0.08740318094332643,0.08078215566942425,0.09411985202513959,0.06963449309861297,0.0022631149189952906,0.07512097733687371,0.04483056762408803,-0.006317549526435498
v011,0.8333269948239732,0.07819142033205742,0.15873368055886258,0.021002709200568615,0.049750578233658194,0.06852171116147124,0.09551707859854575,0.07143143687942424,0.09057336729965078,0.08422369389604192,0.08977863137460772,0.059913046555549215,0.003998171573605447,0.07461745663664567,0.049750578233658194,0.0035739636954117554
v005,0.8333269948239732,0.0666120971324833,0.12166948680119406,-0.026379559400952584,0.04557461687143766,0.031055292132388466,0.11114500753884063,0.07136509405936475,0.09052186366498866,0.08499636067512699,0.1026482377457451,0.07216144763471227,0.0020429052104421475,0.07459682709970852,0.031055292132388466,-0.007984729967225226
v002,0.8333269948239732,0.05533119827865921,0.08856372161752928,-0.05190389314052846,0.06309571282153688,0.026740795247144424,0.10830510321199918,0.0687939168040396,0.07918779380525658,0.08068015859496105,0.09894033328389398,0.055608874864020455,0.00019579296880554154,0.07222849633725932,0.026740795247144424,-0.01689729805860011
v009,0.8333269948239732,0.0626978382572203,0.10386641641088284,0.044084653436899136,0.04723055835555907,0.03250580505482547,0.10556158562425808,0.0643371501294114,0.09394845383126546,0.07955060055493184,0.09504091436314344,0.061551195539260486,0.0016757661014981107,0.07024010991532972,0.03250580505482547,-0.007542271658109417
v012,0.8333269948239732,0.06492864268500541,0.14744446336328282,0.011540625397974912,0.06396434763816877,0.04894858387548224,0.08637979115681231,0.05271531833126806,0.09063181363139343,0.07111152493315973,0.0779499466248377,0.06694805294087966,0.0021982611089365277,0.06921704119489007,0.04894858387548224,-0.004288398509884661
